Data Source in SDW: https://sdw.ecb.europa.eu/quickview.do?SERIES_KEY=122.ICP.M.U2.N.000000.3.ANR
,ICP.M.U2.N.000000.3.ANR
,"Euro area (changing composition) - HICP - Overall index, Annual rate of change, backdated using non-harmonised data, PPP conversion rate used for country weights prior to 1990, European Central Bank, Neither seasonally nor working day adjusted"
Collection:,Average of observations through period (A)
Period\Unit:,[Percentage change ]
1997Aug,1.7
1997Jul,1.5
1997Jun,1.4
1997May,1.4
1997Apr,1.3
1997Mar,1.5
1997Feb,1.8
1997Jan,2.0
1996Dec,1.9
1996Nov,1.9
1996Oct,2.0
1996Sep,2.0
1996Aug,2.0
1996Jul,2.2
1996Jun,2.2
1996May,2.5
1996Apr,2.3
1996Mar,2.4
1996Feb,2.3
1996Jan,2.4
1995Dec,2.4
1995Nov,2.4
1995Oct,2.4
1995Sep,2.4
1995Aug,2.3
1995Jul,2.4
1995Jun,2.6
1995May,2.4
1995Apr,2.6
1995Mar,2.5
1995Feb,2.4
1995Jan,2.4
1994Dec,2.6
1994Nov,2.4
1994Oct,2.6
1994Sep,2.7
1994Aug,2.7
1994Jul,2.6
1994Jun,2.7
1994May,2.8
1994Apr,2.7
1994Mar,2.8
1994Feb,2.9
1994Jan,2.9
1993Dec,3.2
1993Nov,3.2
1993Oct,3.3
1993Sep,3.3
1993Aug,3.3
1993Jul,3.3
1993Jun,3.1
1993May,3.1
1993Apr,3.2
1993Mar,3.2
1993Feb,3.4
1993Jan,3.4
1992Dec,3.2
1992Nov,3.1
1992Oct,3.2
1992Sep,3.3
1992Aug,3.3
1992Jul,3.3
1992Jun,3.9
1992May,4.0
1992Apr,4.2
1992Mar,4.3
1992Feb,3.8
1992Jan,3.9
1991Dec,4.1
1991Nov,4.1
1991Oct,3.7
1991Sep,3.9
1991Aug,4.5
1991Jul,5.0
1991Jun,4.3
1991May,4.1
1991Apr,3.9
1991Mar,3.9
1991Feb,4.1
1991Jan,3.9
1990Dec,3.9
1990Nov,4.2
1990Oct,4.4
1990Sep,4.3
1990Aug,4.0
1990Jul,3.5
1990Jun,3.8
1990May,3.9
1990Apr,4.0
1990Mar,4.2
1990Feb,4.3
1990Jan,4.4
1989Dec,4.5
1989Nov,4.5
1989Oct,4.6
1989Sep,4.3
1989Aug,4.2
1989Jul,4.4
1989Jun,4.4
1989May,4.4
1989Apr,4.3
1989Mar,4.0
1989Feb,3.9
1989Jan,3.7
1988Dec,3.4
1988Nov,3.2
1988Oct,3.0
1988Sep,3.1
1988Aug,3.0
1988Jul,2.8
1988Jun,2.8
1988May,2.7
1988Apr,2.6
1988Mar,2.7
1988Feb,2.7
1988Jan,2.6
1987Dec,2.9
1987Nov,3.0
1987Oct,3.0
1987Sep,2.8
1987Aug,2.9
1987Jul,2.8
1987Jun,2.5
1987May,2.6
1987Apr,2.6
1987Mar,2.4
1987Feb,2.3
1987Jan,2.1
1986Dec,2.1
1986Nov,2.1
1986Oct,2.5
1986Sep,2.8
1986Aug,2.8
1986Jul,2.7
1986Jun,2.9
1986May,2.8
1986Apr,3.0
1986Mar,3.4
1986Feb,3.9
1986Jan,4.6
1985Dec,5.0
1985Nov,5.0
1985Oct,5.0
1985Sep,5.3
1985Aug,5.3
1985Jul,5.6
1985Jun,5.9
1985May,6.2
1985Apr,6.3
1985Mar,6.2
1985Feb,6.1
1985Jan,6.0
1984Dec,6.0
1984Nov,6.2
1984Oct,6.4
1984Sep,6.5
1984Aug,6.9
1984Jul,7.2
1984Jun,7.5
1984May,7.5
1984Apr,7.7
1984Mar,8.0
1984Feb,8.0
1984Jan,8.0
1983Dec,8.1
1983Nov,8.3
1983Oct,8.3
1983Sep,8.4
1983Aug,8.3
1983Jul,8.2
1983Jun,8.1
1983May,8.6
1983Apr,9.0
1983Mar,9.0
1983Feb,9.2
1983Jan,9.4
1982Dec,9.5
1982Nov,9.6
1982Oct,9.9
1982Sep,10.1
1982Aug,10.4
1982Jul,10.7
1982Jun,11.3
1982May,11.0
1982Apr,10.8
1982Mar,11.1
1982Feb,11.5
1982Jan,11.8
1981Dec,12.0
1981Nov,12.3
1981Oct,12.4
1981Sep,12.2
1981Aug,12.0
1981Jul,11.9
1981Jun,11.8
1981May,11.9
1981Apr,11.8
1981Mar,11.8
1981Feb,11.4
1981Jan,11.7
1980Dec,12.1
1980Nov,12.0
1980Oct,11.6
1980Sep,11.8
1980Aug,12.0
1980Jul,12.0
1980Jun,12.0
1980May,12.0
1980Apr,12.1
1980Mar,12.0
1980Feb,12.1
1980Jan,11.5
1979Dec,10.9
1979Nov,10.5
1979Oct,10.3
1979Sep,9.9
1979Aug,9.5
1979Jul,9.3
1979Jun,8.9
1979May,8.7
1979Apr,8.6
1979Mar,8.6
1979Feb,8.5
1979Jan,8.5
1978Dec,8.0
1978Nov,7.9
1978Oct,7.8
1978Sep,8.0
1978Aug,8.0
1978Jul,8.3
1978Jun,8.3
1978May,8.6
1978Apr,8.7
1978Mar,8.9
1978Feb,9.2
1978Jan,9.4
1977Dec,9.9
1977Nov,10.3
1977Oct,10.8
1977Sep,11.3
1977Aug,11.7
1977Jul,11.5
1977Jun,11.3
1977May,10.8
1977Apr,11.2
1977Mar,11.4
1977Feb,11.4
1977Jan,11.4
1976Dec,11.4
1976Nov,11.4
1976Oct,11.1
1976Sep,10.4
1976Aug,10.4
1976Jul,10.1
1976Jun,10.2
1976May,10.6
1976Apr,10.2
1976Mar,9.9
1976Feb,9.5
1976Jan,9.4
1975Dec,9.5
1975Nov,9.5
1975Oct,10.2
1975Sep,10.6
1975Aug,11.2
1975Jul,11.9
1975Jun,12.4
1975May,12.5
1975Apr,12.9
1975Mar,13.0
1975Feb,13.8
1975Jan,14.4
1974Dec,14.3
1974Nov,14.7
1974Oct,14.4
1974Sep,14.3
1974Aug,13.5
1974Jul,12.9
1974Jun,12.4
1974May,12.3
1974Apr,12.3
1974Mar,11.9
1974Feb,11.2
1974Jan,10.4
1973Dec,10.1
1973Nov,9.6
1973Oct,9.1
1973Sep,8.9
1973Aug,9.1
1973Jul,9.0
1973Jun,9.1
1973May,8.7
1973Apr,8.2
1973Mar,7.6
1973Feb,7.4
1973Jan,7.3
1972Dec,7.0
1972Nov,6.9
1972Oct,6.9
1972Sep,6.7
1972Aug,6.4
1972Jul,6.2
1972Jun,5.9
1972May,5.7
1972Apr,5.6
1972Mar,5.9
1972Feb,6.0
1972Jan,6.1
1971Dec,6.3
1971Nov,6.2
1971Oct,6.2
1971Sep,6.1
1971Aug,5.8
1971Jul,5.8
1971Jun,5.9
1971May,5.9
1971Apr,5.6
1971Mar,5.3
1971Feb,5.3
1971Jan,5.0
1970Dec,5.0
1970Nov,5.1
1970Oct,5.1
1970Sep,5.0
1970Aug,4.9
1970Jul,4.7
1970Jun,4.5
1970May,4.2
1970Apr,4.3
1970Mar,4.3
1970Feb,4.1
1970Jan,4.1
1969Dec,3.9
1969Nov,3.8
1969Oct,3.6
1969Sep,3.7
1969Aug,3.6
1969Jul,3.7
1969Jun,3.3
1969May,3.4
1969Apr,3.2
1969Mar,3.0
1969Feb,2.8
1969Jan,2.7
1968Dec,2.8
1968Nov,2.6
1968Oct,2.7
1968Sep,2.4
1968Aug,2.6
1968Jul,2.6
1968Jun,3.0
1968May,2.8
1968Apr,3.0
1968Mar,3.0
1968Feb,3.1
1968Jan,3.1
1967Dec,2.7
1967Nov,3.0
1967Oct,3.1
1967Sep,3.1
1967Aug,3.0
1967Jul,2.8
1967Jun,2.6
1967May,2.6
1967Apr,2.7
1967Mar,3.0
1967Feb,3.0
1967Jan,2.8
1966Dec,2.9
1966Nov,3.1
1966Oct,3.0
1966Sep,3.0
1966Aug,3.2
1966Jul,3.2
1966Jun,3.2
1966May,3.8
1966Apr,3.9
1966Mar,3.7
1966Feb,3.9
1966Jan,4.1
1965Dec,4.1
1965Nov,4.1
1965Oct,4.1
1965Sep,4.3
1965Aug,4.3
1965Jul,4.6
1965Jun,5.2
1965May,5.0
1965Apr,4.5
1965Mar,4.6
1965Feb,4.5
1965Jan,4.3
1964Dec,4.4
1964Nov,4.6
1964Oct,4.5
1964Sep,4.5
1964Aug,4.8
1964Jul,4.8
1964Jun,4.2
1964May,3.5
1964Apr,3.5
1964Mar,3.3
1964Feb,3.5
1964Jan,4.6
1963Dec,5.0
1963Nov,5.1
1963Oct,5.3
1963Sep,5.2
1963Aug,4.9
1963Jul,4.2
1963Jun,4.3
1963May,4.9
1963Apr,5.1
1963Mar,5.7
1963Feb,5.8
1963Jan,4.8
1962Dec,4.4
1962Nov,3.9
1962Oct,4.0
1962Sep,4.0
1962Aug,3.8
1962Jul,4.5
1962Jun,4.6
1962May,4.3
1962Apr,4.4
1962Mar,4.0
1962Feb,3.3
1962Jan,3.1
1961Dec,3.0
1961Nov,3.0
1961Oct,2.6
1961Sep,2.4
1961Aug,2.2
1961Jul,2.1
1961Jun,2.1
1961May,2.0
1961Apr,1.6
1961Mar,1.8
1961Feb,1.8
1961Jan,1.6
